id_venda;data_venda;data_envio;id_cliente;id_produto;id_vendedor;id_loja;quantidade;preco_unitario;desconto_pct;desconto_valor;valor_bruto;valor_liquido;custo_total;status_entrega;meio_pagamento
93;2023-01-03;2023-01-09;703;25;23;15;2;399.0;0.1;79.8;798.0;718.2;360.0;Devolvido;Cartão de Débito
94;2023-01-03;2023-01-05;458;17;4;2;1;589.0;0.0;0.0;589.0;589.0;290.0;Em Trânsito;PIX
95;2023-01-03;2023-01-09;238;24;5;3;2;899.0;0.2;359.6;1798.0;1438.4;840.0;Entregue;Boleto Bancário
96;2023-01-03;2023-01-04;1097;13;13;8;5;3199.0;0.0;0.0;15995.0;15995.0;9000.0;Cancelado;PIX
97;2023-01-03;2023-01-08;455;7;13;8;1;139.9;0.15;20.98;139.9;118.92;55.0;Devolvido;Boleto Bancário
98;2023-01-03;2023-01-05;1024;30;5;3;1;189.0;0.0;0.0;189.0;189.0;85.0;Devolvido;Cartão de Crédito
99;2023-01-03;2023-01-08;656;20;17;10;8;2199.0;0.0;0.0;17592.0;17592.0;8800.0;Cancelado;Cartão de Débito
100;2023-01-03;2023-01-09;442;32;10;6;2;149.0;0.0;0.0;298.0;298.0;130.0;Entregue;PIX
101;2023-01-03;2023-01-09;432;15;23;15;2;599.0;0.15;179.7;1198.0;1018.3;620.0;Devolvido;Cartão de Débito
102;2023-01-03;2023-01-09;803;20;22;15;3;2199.0;0.0;0.0;6597.0;6597.0;3300.0;Entregue;Boleto Bancário
103;2023-01-03;2023-01-07;970;23;25;15;1;1899.0;0.0;0.0;1899.0;1899.0;950.0;Entregue;PIX
104;2023-01-03;2023-01-09;1123;26;4;2;1;1499.0;0.1;149.9;1499.0;1349.1;700.0;Devolvido;Cartão de Crédito
105;2023-01-03;2023-01-09;623;30;21;14;1;189.0;0.0;0.0;189.0;189.0;85.0;Entregue;PIX
106;2023-01-03;2023-01-05;447;13;24;15;1;3199.0;0.0;0.0;3199.0;3199.0;1800.0;Entregue;PIX
107;2023-01-03;2023-01-07;875;11;2;1;1;1599.0;0.2;319.8;1599.0;1279.2;850.0;Entregue;Cartão de Crédito
108;2023-01-03;2023-01-08;694;28;5;3;1;2299.0;0.0;0.0;2299.0;2299.0;1100.0;Entregue;Cartão de Débito
109;2023-01-03;2023-01-07;620;12;21;14;2;499.0;0.1;99.8;998.0;898.2;440.0;Cancelado;Cartão de Crédito
110;2023-01-04;2023-01-08;783;18;21;14;1;3699.0;0.0;0.0;3699.0;3699.0;2100.0;Entregue;Cartão de Crédito
111;2023-01-04;2023-01-08;1044;15;1;1;1;599.0;0.2;119.8;599.0;479.2;310.0;Cancelado;Cartão de Crédito
112;2023-01-04;2023-01-09;371;25;16;10;10;399.0;0.1;399.0;3990.0;3591.0;1800.0;Entregue;Cartão de Crédito
113;2023-01-04;2023-01-07;131;12;13;8;2;499.0;0.0;0.0;998.0;998.0;440.0;Em Trânsito;Cartão de Débito
114;2023-01-04;2023-01-05;1063;8;25;15;2;319.9;0.2;127.96;639.8;511.84;280.0;Entregue;PIX
115;2023-01-04;2023-01-05;1137;29;11;7;1;299.0;0.0;0.0;299.0;299.0;140.0;Entregue;Cartão de Crédito
116;2023-01-04;2023-01-09;526;3;3;2;5;5799.0;0.05;1449.75;28995.0;27545.25;17500.0;Em Trânsito;PIX
117;2023-01-04;2023-01-08;1;16;10;6;1;349.9;0.15;52.48;349.9;297.42;160.0;Entregue;Cartão de Débito
118;2023-01-04;2023-01-06;1182;32;23;15;1;149.0;0.15;22.35;149.0;126.65;65.0;Em Trânsito;PIX
119;2023-01-04;2023-01-10;203;3;8;5;1;5799.0;0.0;0.0;5799.0;5799.0;3500.0;Entregue;PIX
120;2023-01-04;2023-01-09;1131;14;19;12;1;5499.0;0.0;0.0;5499.0;5499.0;3200.0;Entregue;Boleto Bancário
121;2023-01-04;2023-01-07;782;11;13;8;1;1599.0;0.15;239.85;1599.0;1359.15;850.0;Cancelado;PIX
122;2023-01-04;2023-01-09;418;5;21;14;2;1099.0;0.2;439.6;2198.0;1758.4;1240.0;Entregue;Boleto Bancário
123;2023-01-04;2023-01-09;1048;11;14;8;2;1599.0;0.0;0.0;3198.0;3198.0;1700.0;Entregue;Cartão de Crédito
124;2023-01-04;2023-01-09;507;5;9;6;1;1099.0;0.0;0.0;1099.0;1099.0;620.0;Entregue;Boleto Bancário
125;2023-01-04;2023-01-10;183;24;11;7;2;899.0;0.0;0.0;1798.0;1798.0;840.0;Entregue;Cartão de Crédito
126;2023-01-04;2023-01-05;773;15;13;8;4;599.0;0.1;239.6;2396.0;2156.4;1240.0;Em Trânsito;Boleto Bancário
127;2023-01-04;2023-01-09;1003;7;17;10;1;139.9;0.05;7.0;139.9;132.9;55.0;Entregue;Cartão de Crédito
128;2023-01-04;2023-01-05;350;21;25;15;1;799.0;0.0;0.0;799.0;799.0;380.0;Devolvido;Cartão de Débito
129;2023-01-04;2023-01-08;262;17;1;1;1;589.0;0.1;58.9;589.0;530.1;290.0;Entregue;Cartão de Débito
130;2023-01-04;2023-01-09;548;4;24;15;1;1299.0;0.0;0.0;1299.0;1299.0;750.0;Cancelado;Cartão de Débito
131;2023-01-04;2023-01-10;938;12;15;9;5;499.0;0.1;249.5;2495.0;2245.5;1100.0;Entregue;Cartão de Débito
132;2023-01-04;2023-01-09;469;20;21;14;2;2199.0;0.15;659.7;4398.0;3738.3;2200.0;Entregue;Cartão de Crédito
133;2023-01-04;2023-01-10;163;5;24;15;1;1099.0;0.0;0.0;1099.0;1099.0;620.0;Entregue;Boleto Bancário
134;2023-01-04;2023-01-09;1010;1;14;8;1;4499.0;0.15;674.85;4499.0;3824.15;2800.0;Entregue;Cartão de Crédito
135;2023-01-04;2023-01-08;29;13;24;15;1;3199.0;0.0;0.0;3199.0;3199.0;1800.0;Entregue;PIX
136;2023-01-04;2023-01-10;1082;3;20;13;1;5799.0;0.0;0.0;5799.0;5799.0;3500.0;Devolvido;PIX
137;2023-01-04;2023-01-06;154;24;5;3;1;899.0;0.2;179.8;899.0;719.2;420.0;Entregue;PIX
138;2023-01-04;2023-01-07;232;22;22;15;1;649.0;0.05;32.45;649.0;616.55;290.0;Entregue;Boleto Bancário
139;2023-01-04;2023-01-07;990;19;9;6;1;1199.0;0.1;119.9;1199.0;1079.1;580.0;Entregue;Boleto Bancário
140;2023-01-04;2023-01-10;1056;3;15;9;3;5799.0;0.1;1739.7;17397.0;15657.3;10500.0;Entregue;Cartão de Débito
141;2023-01-04;2023-01-07;612;23;4;2;1;1899.0;0.15;284.85;1899.0;1614.15;950.0;Entregue;Cartão de Crédito
142;2023-01-04;2023-01-05;883;32;7;4;1;149.0;0.05;7.45;149.0;141.55;65.0;Entregue;Cartão de Débito
143;2023-01-04;2023-01-05;319;17;8;5;1;589.0;0.0;0.0;589.0;589.0;290.0;Entregue;Boleto Bancário
144;2023-01-04;2023-01-05;899;29;6;4;1;299.0;;29.9;299.0;269.1;140.0;devolvido;PIX
145;2023-01-04;2023-01-05;389;19;2;1;1;1199.0;0.0;0.0;1199.0;1199.0;580.0;Entregue;PIX
146;2023-01-04;2023-01-10;408;31;22;15;5;369.0;0.0;0.0;1845.0;1845.0;800.0;Entregue;PIX
147;2023-01-04;2023-01-07;819;33;24;15;3;239.0;0.1;71.7;717.0;645.3;330.0;Entregue;Cartão de Crédito
148;2023-01-04;2023-01-05;259;10;12;7;1;6199.0;0.1;619.9;6199.0;5579.1;3800.0;Cancelado;Boleto Bancário
149;2023-01-04;2023-01-08;17;28;16;10;1;2299.0;0.0;0.0;2299.0;2299.0;1100.0;Entregue;PIX
150;2023-01-04;2023-01-10;1048;12;8;5;1;499.0;0.0;0.0;499.0;499.0;220.0;Cancelado;PIX
151;2023-01-04;2023-01-10;879;13;16;10;2;3199.0;0.1;639.8;6398.0;5758.2;3600.0;Em Trânsito;PIX
152;2023-01-04;2023-01-06;305;15;4;2;1;599.0;0.0;0.0;599.0;599.0;310.0;Entregue;Cartão de Débito
153;2023-01-04;2023-01-05;409;6;2;1;1;249.9;0.05;12.5;249.9;237.4;110.0;Entregue;PIX
154;2023-01-04;2023-01-07;873;31;2;1;1;369.0;0.05;18.45;369.0;350.55;160.0;Entregue;Boleto Bancário
155;2023-01-04;2023-01-07;719;27;8;5;1;1799.0;0.0;0.0;1799.0;1799.0;890.0;Entregue;Boleto Bancário
156;2023-01-05;2023-01-10;207;28;6;4;1;2299.0;0.0;0.0;2299.0;2299.0;1100.0;Entregue;Cartão de Crédito
157;2023-01-05;2023-01-11;28;9;11;7;1;3299.0;0.1;329.9;3299.0;2969.1;1900.0;Em Trânsito;Boleto Bancário
158;2023-01-05;2023-01-07;566;14;19;12;1;5499.0;0.15;824.85;5499.0;4674.15;3200.0;Cancelado;Cartão de Crédito
159;2023-01-05;2023-01-06;391;13;23;15;1;3199.0;0.0;0.0;3199.0;3199.0;1800.0;Em Trânsito;Boleto Bancário
160;2023-01-05;2023-01-08;972;13;18;11;2;3199.0;0.0;0.0;6398.0;6398.0;3600.0;Em Trânsito;Boleto Bancário
161;2023-01-05;2023-01-10;712;24;15;9;1;899.0;0.0;0.0;899.0;899.0;420.0;Entregue;Cartão de Débito
162;2023-01-05;2023-01-10;1032;2;6;4;1;3599.0;0.05;179.95;3599.0;3419.05;2200.0;Entregue;Cartão de Crédito
163;2023-01-05;2023-01-11;390;26;16;10;1;1499.0;0.15;224.85;1499.0;1274.15;700.0;Entregue;Cartão de Débito
164;2023-01-05;2023-01-10;787;25;13;8;1;399.0;;0.0;399.0;399.0;180.0;em trânsito;PIX
165;2023-01-05;2023-01-10;19;33;15;9;1;239.0;0.1;23.9;239.0;215.1;110.0;Devolvido;PIX
166;2023-01-05;2023-01-08;550;8;6;4;1;319.9;0.05;15.99;319.9;303.91;140.0;Cancelado;PIX
167;2023-01-05;2023-01-08;273;18;2;1;1;3699.0;0.0;0.0;3699.0;3699.0;2100.0;Em Trânsito;Cartão de Crédito
168;2023-01-05;2023-01-06;712;24;11;7;1;899.0;0.1;89.9;899.0;809.1;420.0;Cancelado;PIX
169;2023-01-05;2023-01-09;604;21;2;1;1;799.0;0.0;0.0;799.0;799.0;380.0;Cancelado;Boleto Bancário
170;2023-01-05;2023-01-07;525;2;18;11;1;3599.0;0.15;539.85;3599.0;3059.15;2200.0;Em Trânsito;Cartão de Crédito
171;2023-01-05;2023-01-11;783;17;21;14;1;589.0;0.05;29.45;589.0;559.55;290.0;Entregue;Boleto Bancário
172;2023-01-05;2023-01-08;418;26;5;3;1;1499.0;0.1;149.9;1499.0;1349.1;700.0;Entregue;Cartão de Débito
173;2023-01-05;2023-01-06;1016;12;15;9;1;499.0;0.15;74.85;499.0;424.15;220.0;Entregue;PIX
174;2023-01-05;2023-01-11;578;2;10;6;1;3599.0;0.0;0.0;3599.0;3599.0;2200.0;Em Trânsito;PIX
175;2023-01-05;2023-01-06;294;5;14;8;1;1099.0;0.15;164.85;1099.0;934.15;620.0;Entregue;PIX
176;2023-01-05;2023-01-11;25;7;13;8;1;139.9;;0.0;139.9;139.9;55.0;;Cartão de Crédito
177;2023-01-05;2023-01-07;509;6;9;6;1;249.9;;12.5;249.9;237.4;110.0;;Cartão de Crédito
178;2023-01-05;2023-01-10;694;6;7;4;1;249.9;0.1;24.99;249.9;224.91;110.0;Devolvido;PIX
179;2023-01-05;2023-01-08;680;31;5;3;1;369.0;0.05;18.45;369.0;350.55;160.0;Em Trânsito;Cartão de Crédito
180;2023-01-05;2023-01-06;92;7;18;11;1;139.9;0.05;7.0;139.9;132.9;55.0;Entregue;Cartão de Crédito
181;2023-01-05;2023-01-07;50;15;14;8;1;599.0;0.0;0.0;599.0;599.0;310.0;Cancelado;Cartão de Débito
182;2023-01-05;2023-01-11;231;32;6;4;8;149.0;0.0;0.0;1192.0;1192.0;520.0;Entregue;Boleto Bancário
183;2023-01-05;2023-01-06;684;8;12;7;3;319.9;0.15;143.95;959.7;815.75;420.0;Em Trânsito;PIX
184;2023-01-05;2023-01-07;878;34;11;7;1;99.0;0.05;4.95;99.0;94.05;40.0;Cancelado;Boleto Bancário
185;2023-01-05;2023-01-10;588;23;4;2;1;1899.0;0.0;0.0;1899.0;1899.0;950.0;Entregue;Cartão de Crédito
186;2023-01-05;2023-01-06;305;10;11;7;1;6199.0;0.0;0.0;6199.0;6199.0;3800.0;Entregue;Cartão de Crédito
187;2023-01-05;2023-01-06;1184;28;24;15;1;2299.0;0.0;0.0;2299.0;2299.0;1100.0;Entregue;Cartão de Débito
188;2023-01-05;2023-01-08;654;32;14;8;1;149.0;0.2;29.8;149.0;119.2;65.0;Cancelado;Boleto Bancário
189;2023-01-05;2023-01-07;504;25;14;8;1;399.0;0.05;19.95;399.0;379.05;180.0;Em Trânsito;PIX
190;2023-01-05;2023-01-09;172;27;17;10;1;1799.0;0.05;89.95;1799.0;1709.05;890.0;Cancelado;Cartão de Crédito
191;2023-01-05;2023-01-07;741;1;7;4;8;4499.0;0.0;0.0;35992.0;35992.0;22400.0;Entregue;Cartão de Crédito
192;2023-01-05;2023-01-06;716;24;25;15;2;899.0;0.0;0.0;1798.0;1798.0;840.0;Devolvido;Cartão de Débito
193;2023-01-05;2023-01-07;432;15;2;1;2;599.0;0.0;0.0;1198.0;1198.0;620.0;Entregue;Cartão de Débito
194;2023-01-05;2023-01-11;54;28;12;7;1;2299.0;0.0;0.0;2299.0;2299.0;1100.0;Entregue;PIX
195;2023-01-05;2023-01-06;301;24;5;3;1;899.0;0.0;0.0;899.0;899.0;420.0;Devolvido;Cartão de Débito
196;2023-01-05;2023-01-07;374;31;24;15;1;369.0;0.05;18.45;369.0;350.55;160.0;Entregue;Cartão de Débito
197;2023-01-05;2023-01-11;691;29;21;14;1;299.0;0.0;0.0;299.0;299.0;140.0;Cancelado;Cartão de Crédito
198;2023-01-05;2023-01-10;356;33;6;4;1;239.0;0.1;23.9;239.0;215.1;110.0;Entregue;Boleto Bancário
199;2023-01-06;2023-01-11;1028;20;23;15;1;2199.0;0.15;329.85;2199.0;1869.15;1100.0;Entregue;Cartão de Débito
200;2023-01-06;2023-01-08;434;26;20;13;1;1499.0;0.0;0.0;1499.0;1499.0;700.0;Em Trânsito;Cartão de Crédito
201;2023-01-06;2023-01-12;960;31;11;7;1;369.0;0.0;0.0;369.0;369.0;160.0;Entregue;Boleto Bancário
202;2023-01-06;2023-01-12;869;13;9;6;1;3199.0;0.0;0.0;3199.0;3199.0;1800.0;Devolvido;Boleto Bancário
203;2023-01-06;2023-01-07;491;19;6;4;1;1199.0;0.0;0.0;1199.0;1199.0;580.0;Devolvido;Boleto Bancário
204;2023-01-06;2023-01-08;1130;13;21;14;3;3199.0;0.0;0.0;9597.0;9597.0;5400.0;Em Trânsito;Cartão de Crédito
205;2023-01-06;2023-01-11;991;3;2;1;1;5799.0;;869.85;5799.0;4929.15;3500.0;entregue;Boleto Bancário
206;2023-01-06;2023-01-10;1025;13;11;7;2;3199.0;0.1;639.8;6398.0;5758.2;3600.0;Cancelado;Cartão de Crédito
207;2023-01-06;2023-01-09;835;33;4;2;1;239.0;0.1;23.9;239.0;215.1;110.0;Devolvido;Cartão de Débito
208;2023-01-06;2023-01-10;77;19;6;4;1;1199.0;0.0;0.0;1199.0;1199.0;580.0;Entregue;PIX
209;2023-01-06;2023-01-08;289;11;17;10;1;1599.0;0.1;159.9;1599.0;1439.1;850.0;Devolvido;Boleto Bancário
210;2023-01-06;2023-01-10;269;22;10;6;1;649.0;0.15;97.35;649.0;551.65;290.0;Cancelado;Cartão de Débito
211;2023-01-06;2023-01-08;428;5;5;3;1;1099.0;0.2;219.8;1099.0;879.2;620.0;Entregue;PIX
