data;ano;num_mes;nome_mes;mes_curto;ano_mes;ano_mes_num;num_trimestre;nome_trimestre;ano_trimestre;dia_mes;dia_semana_num;dia_semana_nome;eh_fim_semana;semana_ano
2023-01-24;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;24;2;Terça-feira;Não;5
2023-01-25;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;25;3;Quarta-feira;Não;5
2023-01-26;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;26;4;Quinta-feira;Não;5
2023-01-27;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;27;5;Sexta-feira;Não;5
2023-01-28;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;28;6;Sábado;Sim;5
2023-01-29;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;29;7;Domingo;Sim;5
2023-01-30;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;30;1;Segunda-feira;Não;6
2023-01-31;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;31;2;Terça-feira;Não;6
2023-02-01;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;1;3;Quarta-feira;Não;6
2023-02-02;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;2;4;Quinta-feira;Não;6
2023-02-03;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;3;5;Sexta-feira;Não;6
2023-02-04;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;4;6;Sábado;Sim;6
2023-02-05;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;5;7;Domingo;Sim;6
2023-02-06;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;6;1;Segunda-feira;Não;7
2023-02-07;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;7;2;Terça-feira;Não;7
2023-02-08;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;8;3;Quarta-feira;Não;7
2023-02-09;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;9;4;Quinta-feira;Não;7
2023-02-10;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;10;5;Sexta-feira;Não;7
2023-02-11;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;11;6;Sábado;Sim;7
2023-02-12;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;12;7;Domingo;Sim;7
2023-02-13;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;13;1;Segunda-feira;Não;8
2023-02-14;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;14;2;Terça-feira;Não;8
2023-02-15;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;15;3;Quarta-feira;Não;8
2023-02-16;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;16;4;Quinta-feira;Não;8
2023-02-17;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;17;5;Sexta-feira;Não;8
2023-02-18;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;18;6;Sábado;Sim;8
2023-02-19;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;19;7;Domingo;Sim;8
2023-02-20;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;20;1;Segunda-feira;Não;9
2023-02-21;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;21;2;Terça-feira;Não;9
2023-02-22;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;22;3;Quarta-feira;Não;9
2023-02-23;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;23;4;Quinta-feira;Não;9
2023-02-24;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;24;5;Sexta-feira;Não;9
2023-02-25;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;25;6;Sábado;Sim;9
2023-02-26;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;26;7;Domingo;Sim;9
2023-02-27;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;27;1;Segunda-feira;Não;10
2023-02-28;2023;2;Fevereiro;Fev;2023-02;202302;1;T1;2023-T1;28;2;Terça-feira;Não;10
2023-03-01;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;1;3;Quarta-feira;Não;10
2023-03-02;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;2;4;Quinta-feira;Não;10
2023-03-03;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;3;5;Sexta-feira;Não;10
2023-03-04;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;4;6;Sábado;Sim;10
2023-03-05;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;5;7;Domingo;Sim;10
2023-03-06;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;6;1;Segunda-feira;Não;11
2023-03-07;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;7;2;Terça-feira;Não;11
2023-03-08;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;8;3;Quarta-feira;Não;11
2023-03-09;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;9;4;Quinta-feira;Não;11
2023-03-10;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;10;5;Sexta-feira;Não;11
2023-03-11;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;11;6;Sábado;Sim;11
2023-03-12;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;12;7;Domingo;Sim;11
2023-03-13;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;13;1;Segunda-feira;Não;12
2023-03-14;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;14;2;Terça-feira;Não;12
2023-03-15;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;15;3;Quarta-feira;Não;12
2023-03-16;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;16;4;Quinta-feira;Não;12
2023-03-17;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;17;5;Sexta-feira;Não;12
2023-03-18;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;18;6;Sábado;Sim;12
2023-03-19;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;19;7;Domingo;Sim;12
2023-03-20;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;20;1;Segunda-feira;Não;13
2023-03-21;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;21;2;Terça-feira;Não;13
2023-03-22;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;22;3;Quarta-feira;Não;13
2023-03-23;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;23;4;Quinta-feira;Não;13
2023-03-24;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;24;5;Sexta-feira;Não;13
2023-03-25;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;25;6;Sábado;Sim;13
2023-03-26;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;26;7;Domingo;Sim;13
2023-03-27;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;27;1;Segunda-feira;Não;14
2023-03-28;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;28;2;Terça-feira;Não;14
2023-03-29;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;29;3;Quarta-feira;Não;14
2023-03-30;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;30;4;Quinta-feira;Não;14
2023-03-31;2023;3;Março;Mar;2023-03;202303;1;T1;2023-T1;31;5;Sexta-feira;Não;14
2023-04-01;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;1;6;Sábado;Sim;14
2023-04-02;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;2;7;Domingo;Sim;14
2023-04-03;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;3;1;Segunda-feira;Não;15
2023-04-04;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;4;2;Terça-feira;Não;15
2023-04-05;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;5;3;Quarta-feira;Não;15
2023-04-06;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;6;4;Quinta-feira;Não;15
2023-04-07;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;7;5;Sexta-feira;Não;15
2023-04-08;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;8;6;Sábado;Sim;15
2023-04-09;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;9;7;Domingo;Sim;15
2023-04-10;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;10;1;Segunda-feira;Não;16
2023-04-11;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;11;2;Terça-feira;Não;16
2023-04-12;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;12;3;Quarta-feira;Não;16
2023-04-13;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;13;4;Quinta-feira;Não;16
2023-04-14;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;14;5;Sexta-feira;Não;16
2023-04-15;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;15;6;Sábado;Sim;16
2023-04-16;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;16;7;Domingo;Sim;16
2023-04-17;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;17;1;Segunda-feira;Não;17
2023-04-18;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;18;2;Terça-feira;Não;17
2023-04-19;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;19;3;Quarta-feira;Não;17
2023-04-20;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;20;4;Quinta-feira;Não;17
2023-04-21;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;21;5;Sexta-feira;Não;17
2023-04-22;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;22;6;Sábado;Sim;17
2023-04-23;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;23;7;Domingo;Sim;17
2023-04-24;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;24;1;Segunda-feira;Não;18
2023-04-25;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;25;2;Terça-feira;Não;18
2023-04-26;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;26;3;Quarta-feira;Não;18
2023-04-27;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;27;4;Quinta-feira;Não;18
2023-04-28;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;28;5;Sexta-feira;Não;18
2023-04-29;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;29;6;Sábado;Sim;18
2023-04-30;2023;4;Abril;Abr;2023-04;202304;2;T2;2023-T2;30;7;Domingo;Sim;18
2023-05-01;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;1;1;Segunda-feira;Não;19
2023-05-02;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;2;2;Terça-feira;Não;19
2023-05-03;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;3;3;Quarta-feira;Não;19
2023-05-04;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;4;4;Quinta-feira;Não;19
2023-05-05;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;5;5;Sexta-feira;Não;19
2023-05-06;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;6;6;Sábado;Sim;19
2023-05-07;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;7;7;Domingo;Sim;19
2023-05-08;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;8;1;Segunda-feira;Não;20
2023-05-09;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;9;2;Terça-feira;Não;20
2023-05-10;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;10;3;Quarta-feira;Não;20
2023-05-11;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;11;4;Quinta-feira;Não;20
2023-05-12;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;12;5;Sexta-feira;Não;20
2023-05-13;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;13;6;Sábado;Sim;20
2023-05-14;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;14;7;Domingo;Sim;20
2023-05-15;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;15;1;Segunda-feira;Não;21
2023-05-16;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;16;2;Terça-feira;Não;21
2023-05-17;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;17;3;Quarta-feira;Não;21
2023-05-18;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;18;4;Quinta-feira;Não;21
2023-05-19;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;19;5;Sexta-feira;Não;21
2023-05-20;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;20;6;Sábado;Sim;21
2023-05-21;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;21;7;Domingo;Sim;21
2023-05-22;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;22;1;Segunda-feira;Não;22
2023-05-23;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;23;2;Terça-feira;Não;22
2023-05-24;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;24;3;Quarta-feira;Não;22
2023-05-25;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;25;4;Quinta-feira;Não;22
2023-05-26;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;26;5;Sexta-feira;Não;22
2023-05-27;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;27;6;Sábado;Sim;22
2023-05-28;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;28;7;Domingo;Sim;22
2023-05-29;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;29;1;Segunda-feira;Não;23
2023-05-30;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;30;2;Terça-feira;Não;23
2023-05-31;2023;5;Maio;Mai;2023-05;202305;2;T2;2023-T2;31;3;Quarta-feira;Não;23
2023-06-01;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;1;4;Quinta-feira;Não;23
2023-06-02;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;2;5;Sexta-feira;Não;23
2023-06-03;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;3;6;Sábado;Sim;23
2023-06-04;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;4;7;Domingo;Sim;23
2023-06-05;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;5;1;Segunda-feira;Não;24
2023-06-06;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;6;2;Terça-feira;Não;24
2023-06-07;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;7;3;Quarta-feira;Não;24
2023-06-08;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;8;4;Quinta-feira;Não;24
2023-06-09;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;9;5;Sexta-feira;Não;24
2023-06-10;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;10;6;Sábado;Sim;24
2023-06-11;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;11;7;Domingo;Sim;24
2023-06-12;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;12;1;Segunda-feira;Não;25
2023-06-13;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;13;2;Terça-feira;Não;25
2023-06-14;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;14;3;Quarta-feira;Não;25
2023-06-15;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;15;4;Quinta-feira;Não;25
2023-06-16;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;16;5;Sexta-feira;Não;25
2023-06-17;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;17;6;Sábado;Sim;25
2023-06-18;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;18;7;Domingo;Sim;25
2023-06-19;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;19;1;Segunda-feira;Não;26
2023-06-20;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;20;2;Terça-feira;Não;26
2023-06-21;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;21;3;Quarta-feira;Não;26
2023-06-22;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;22;4;Quinta-feira;Não;26
2023-06-23;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;23;5;Sexta-feira;Não;26
2023-06-24;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;24;6;Sábado;Sim;26
2023-06-25;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;25;7;Domingo;Sim;26
2023-06-26;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;26;1;Segunda-feira;Não;27
2023-06-27;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;27;2;Terça-feira;Não;27
2023-06-28;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;28;3;Quarta-feira;Não;27
2023-06-29;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;29;4;Quinta-feira;Não;27
2023-06-30;2023;6;Junho;Jun;2023-06;202306;2;T2;2023-T2;30;5;Sexta-feira;Não;27
2023-07-01;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;1;6;Sábado;Sim;27
2023-07-02;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;2;7;Domingo;Sim;27
2023-07-03;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;3;1;Segunda-feira;Não;28
2023-07-04;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;4;2;Terça-feira;Não;28
2023-07-05;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;5;3;Quarta-feira;Não;28
2023-07-06;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;6;4;Quinta-feira;Não;28
2023-07-07;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;7;5;Sexta-feira;Não;28
2023-07-08;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;8;6;Sábado;Sim;28
2023-07-09;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;9;7;Domingo;Sim;28
2023-07-10;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;10;1;Segunda-feira;Não;29
2023-07-11;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;11;2;Terça-feira;Não;29
2023-07-12;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;12;3;Quarta-feira;Não;29
2023-07-13;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;13;4;Quinta-feira;Não;29
2023-07-14;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;14;5;Sexta-feira;Não;29
2023-07-15;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;15;6;Sábado;Sim;29
2023-07-16;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;16;7;Domingo;Sim;29
2023-07-17;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;17;1;Segunda-feira;Não;30
2023-07-18;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;18;2;Terça-feira;Não;30
2023-07-19;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;19;3;Quarta-feira;Não;30
2023-07-20;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;20;4;Quinta-feira;Não;30
2023-07-21;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;21;5;Sexta-feira;Não;30
2023-07-22;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;22;6;Sábado;Sim;30
2023-07-23;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;23;7;Domingo;Sim;30
2023-07-24;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;24;1;Segunda-feira;Não;31
2023-07-25;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;25;2;Terça-feira;Não;31
2023-07-26;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;26;3;Quarta-feira;Não;31
2023-07-27;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;27;4;Quinta-feira;Não;31
2023-07-28;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;28;5;Sexta-feira;Não;31
2023-07-29;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;29;6;Sábado;Sim;31
2023-07-30;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;30;7;Domingo;Sim;31
2023-07-31;2023;7;Julho;Jul;2023-07;202307;3;T3;2023-T3;31;1;Segunda-feira;Não;32
2023-08-01;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;1;2;Terça-feira;Não;32
2023-08-02;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;2;3;Quarta-feira;Não;32
2023-08-03;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;3;4;Quinta-feira;Não;32
2023-08-04;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;4;5;Sexta-feira;Não;32
2023-08-05;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;5;6;Sábado;Sim;32
2023-08-06;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;6;7;Domingo;Sim;32
2023-08-07;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;7;1;Segunda-feira;Não;33
2023-08-08;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;8;2;Terça-feira;Não;33
2023-08-09;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;9;3;Quarta-feira;Não;33
2023-08-10;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;10;4;Quinta-feira;Não;33
2023-08-11;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;11;5;Sexta-feira;Não;33
2023-08-12;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;12;6;Sábado;Sim;33
2023-08-13;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;13;7;Domingo;Sim;33
2023-08-14;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;14;1;Segunda-feira;Não;34
2023-08-15;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;15;2;Terça-feira;Não;34
2023-08-16;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;16;3;Quarta-feira;Não;34
2023-08-17;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;17;4;Quinta-feira;Não;34
2023-08-18;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;18;5;Sexta-feira;Não;34
2023-08-19;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;19;6;Sábado;Sim;34
2023-08-20;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;20;7;Domingo;Sim;34
2023-08-21;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;21;1;Segunda-feira;Não;35
2023-08-22;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;22;2;Terça-feira;Não;35
2023-08-23;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;23;3;Quarta-feira;Não;35
2023-08-24;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;24;4;Quinta-feira;Não;35
2023-08-25;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;25;5;Sexta-feira;Não;35
2023-08-26;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;26;6;Sábado;Sim;35
2023-08-27;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;27;7;Domingo;Sim;35
2023-08-28;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;28;1;Segunda-feira;Não;36
2023-08-29;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;29;2;Terça-feira;Não;36
2023-08-30;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;30;3;Quarta-feira;Não;36
2023-08-31;2023;8;Agosto;Ago;2023-08;202308;3;T3;2023-T3;31;4;Quinta-feira;Não;36
2023-09-01;2023;9;Setembro;Set;2023-09;202309;3;T3;2023-T3;1;5;Sexta-feira;Não;36
2023-09-02;2023;9;Setembro;Set;2023-09;202309;3;T3;2023-T3;2;6;Sábado;Sim;36
2023-09-03;2023;9;Setembro;Set;2023-09;202309;3;T3;2023-T3;3;7;Domingo;Sim;36
2023-09-04;2023;9;Setembro;Set;2023-09;202309;3;T3;2023-T3;4;1;Segunda-feira;Não;37
